GEOGRAPHY_CODE,YEAR,HOUSEHOLDS,CUM_HOUSEHOLDS,D_JOBS,CUM_D_JOBS
E06000055,2031,-215.203899191961,-2709.02386739463,-22.1049968460483,-278.261519746966
E07000008,2031,-48.0230880104804,-178.016432234111,4418.67476345365,53065.0051090603
E07000009,2031,-69.1609986459913,-944.050706442455,-7.10397749613033,-96.9696086677584
E07000099,2031,-125.076307141295,-1583.89963345709,-12.8474037192397,-162.69266743534
E07000151,2031,-66.5563565844091,-910.911287355318,-6.83643771282463,-93.5656426748021
E07000154,2031,-212.19796654291,-2648.72459488971,-21.7962378877943,-272.067787971915
E07000155,2031,-84.2431164883156,-1126.7769413409,-8.65316024136918,-115.738612674129
E07000156,2031,-60.3685229089303,-769.289301594236,-6.20084493595621,-79.0187243320847
E07000177,2031,-94.6528992356384,-1205.55857820485,-9.7224169586574,-123.830788703201
E07000178,2031,-58.5109066608435,-344.770888316225,4417.59749115951,53047.8766706835
E07000179,2031,-84.2767081022044,-1121.03070818956,-8.65661065524112,-115.148379568855
E07000180,2031,-100.060632277791,-1410.43641528718,-10.2778805087598,-144.875128324996
E07000181,2031,-52.9153189779436,-705.287458047609,-5.43527772269462,-72.4446773234034
E07000242,2031,-159.387556759116,-2051.38301288491,-16.3717360730387,-210.710936001256
E07000243,2031,-76.6723419087151,-880.471858833807,-7.87551657955554,-90.4390103322192
E07000004,2031,8468.99163913518,101832.687326141,2639.34840879338,31693.2159821082
E06000056,2031,4462.97635195458,53760.5038799738,1343.14293087777,16138.7502471208
E07000012,2031,4462.97635195458,53760.5038799738,1343.14293087777,16138.7502471208
E07000011,2031,4462.97635195458,53760.5038799738,1343.14293087777,16138.7502471208
E06000030,2032,-173.864508757365,-2226.74596601877,-17.8587582852908,-228.723609286883
E06000032,2032,-180.587999475867,-2226.67852439397,-18.5493718925951,-228.716681917494
E06000042,2032,-277.88920987115,-4063.4845092815,4395.06371403576,57089.5108556047
E06000055,2032,-212.977033588116,-2922.00090098275,-21.8762609479796,-300.137780694946
E07000008,2032,-51.482507447044,-229.498939681154,4418.31942390812,57483.3245329684
E07000009,2032,-69.8945878139338,-1013.94529425639,-7.17932922676603,-104.148937894524
E07000099,2032,-126.642968333699,-1710.54260179078,-13.0083257139013,-175.700993149241
E07000151,2032,-60.2437171434774,-971.155004498799,-6.18802532133927,-99.7536679961417
E07000154,2032,-212.902098449438,-2861.62669333915,-21.8685638708804,-293.936351842795
E07000155,2032,-79.7007550993665,-1206.47769644027,-8.18658466093899,-123.925197335068
E07000156,2032,-60.5183931862858,-829.807694780522,-6.21623909015462,-85.2349634222394
E07000177,2032,-89.9082129722638,-1295.46679117711,-9.23505927005981,-133.065847973261
E07000178,2032,-56.4796476086457,-401.250535924871,4417.80613503219,57465.6828057157
E07000179,2032,-78.4568317973359,-1199.4875399869,-8.05881318109426,-123.20719274995
E07000180,2032,-96.3996631578948,-1506.83607844508,-9.9018384800018,-154.776966804998
E07000181,2032,-50.4171364926854,-755.704594540295,-5.17867309719837,-77.6233504206018
E07000242,2032,-158.985490980567,-2210.36850386547,-16.3304372731559,-227.041373274412
E07000243,2032,-80.8185806507991,-961.290439484604,-8.30140381794139,-98.7404141501604
E07000004,2032,8464.05380109194,110296.741127233,2638.84121122502,34332.0571933332
E06000056,2032,4458.03851391134,58218.5423938851,1342.63573330941,17481.3859804303
E07000012,2032,4458.03851391134,58218.5423938851,1342.63573330941,17481.3859804303
E07000011,2032,4458.03851391134,58218.5423938851,1342.63573330941,17481.3859804303
E06000030,2033,-177.45467709107,-2404.20064310985,-18.227527903273,-246.951137190157
E06000032,2033,-182.869903647085,-2409.54842804106,-18.7837611610849,-247.50044307858
E06000042,2033,-273.079665953265,-4336.56417523477,4395.55773367729,61485.068589282
E06000055,2033,-210.108309761961,-3132.1092107447,-21.5815956033114,-321.719376298257
E07000008,2033,-42.7825378466922,-272.281477527846,4419.21305455932,61902.5375875278
E07000009,2033,-70.0297294605799,-1083.97502371697,-7.19321050718938,-111.342148401714
E07000099,2033,-126.360798777026,-1836.90340056781,-12.9793422373764,-188.680335386617
E07000151,2033,-59.6935898667849,-1030.84859436558,-6.13151815877449,-105.885186154916
E07000154,2033,-212.578068573931,-3074.20476191308,-21.8352806478393,-315.771632490635
E07000155,2033,-79.5849932299636,-1286.06268967023,-8.17469400390326,-132.099891338971
E07000156,2033,-57.0457955012002,-886.853490281721,-5.85954592072491,-91.0945093429642
E07000177,2033,-92.2234503603433,-1387.69024153745,-9.47287241077664,-142.538720384037
E07000178,2033,-45.9975136929457,-447.248049617817,4418.88282341013,61884.5656291258
E07000179,2033,-77.0917202882739,-1276.57926027517,-7.91859366966522,-131.125786419615
